StartTime,LastTime,SrcAddr,DstAddr,Mean,Sport,Dport,SrcPkts,DstPkts,TotPkts,DstBytes,SrcBytes,TotBytes,SrcLoad,DstLoad,Load,SrcRate,DstRate,Rate,SrcLoss,DstLoss,Loss,pLoss,SrcJitter,DstJitter,SIntPkt,DIntPkt,Proto,Dur,TcpRtt,IdleTime,Sum,Min,Max,sDSb,sTtl,dTtl,sIpId,dIpId,SAppBytes,DAppBytes,TotAppByte,SynAck,RunTime,sTos,SrcJitAct,DstJitAct,Traffic,Target
8/19/2019 12:23,8/19/2019 12:23,192.168.0.20,192.168.0.2,0,59034,502,10,8,18,508,644,1152,87486.09375,67122.95313,154609.0469,169.692856,131.983337,320.530945,2,2,4,18.181818,527.431726,11.523097,5.893,7.406429,6,0.053037,0.001266,1548786176,0.053037,0.053037,0.053037,0,128,64,53331,64402,24,20,44,0.001176,0.053037,0,0,0,normal,0
8/19/2019 15:13,8/19/2019 15:13,192.168.0.20,192.168.0.2,0,55841,502,10,8,18,508,644,1152,88077.29688,67576.54688,155653.8438,170.839584,132.875229,322.696991,2,2,4,18.181818,17.234379,13.246678,7.525857,7.338714,6,0.052681,0.00131,1548882816,0.052681,0.052681,0.052681,0,128,64,37167,31590,24,20,44,0.001308,0.052681,0,0,0,normal,0
8/19/2019 13:41,8/19/2019 13:41,192.168.0.20,192.168.0.2,0,63774,502,10,8,18,508,644,1152,89587.39063,68735.15625,158322.5469,173.768646,135.153397,328.229675,2,2,4,18.181818,522.98724,12.307223,5.754778,7.299143,6,0.051793,0.000766,1548877312,0.051793,0.051793,0.051793,0,128,64,58712,22717,24,20,44,0.00069,0.051793,0,0,0,normal,0
8/19/2019 12:43,8/19/2019 12:43,209.240.235.92,192.168.0.2,0,61771,80,4,0,4,0,248,248,1672.746582,0,1672.746582,3.372473,0,3.372473,3,0,3,42.857143,419.338813,0,296.518344,0,6,0.889555,0,1548787456,0.889555,0.889555,0.889555,0,140,0,21629,0,0,0,0,0,0.889555,0,419.338813,0,DoS,1
8/19/2019 14:49,8/19/2019 14:49,192.168.0.20,192.168.0.1,3,0,0,14,0,14,0,868,868,1842.256714,0,1842.256714,3.714227,0,3.714227,0,0,0,0,525.146562,0,321.429844,0,2054,3.500055,0,1548881408,3.500055,3.500055,3.500055,0,0,0,0,0,476,0,476,0,3.500055,0,525.146562,0,normal,0
8/19/2019 13:06,8/19/2019 13:06,209.240.235.92,192.168.0.2,0,20559,80,2,0,2,0,124,124,0,0,0,0,0,0,2,0,2,50,0,0,0,0,6,0,0,1548788736,0,0,0,0,142,0,21629,0,0,0,0,0,0,0,0,0,DoS,1
8/19/2019 11:31,8/19/2019 11:31,192.168.0.20,192.168.0.2,0,61906,502,6,6,12,384,396,780,88727.57031,86038.85156,174766.4219,168.044632,168.044632,369.698181,2,2,4,25,9.695382,7.368436,0.1618,5.8168,6,0.029754,0.00067,1548783104,0.029754,0.029754,0.029754,0,128,64,41565,15177,24,20,44,0.000659,0.029754,0,0,0,normal,0
8/19/2019 12:38,8/19/2019 12:38,49.48.134.64,192.168.0.2,0,42211,80,2,0,2,0,124,124,2.48E+08,0,2.48E+08,5.00E+05,0,5.00E+05,2,0,2,50,0,0,0.002,0,6,2.00E-06,0,1548787072,2.00E-06,2.00E-06,2.00E-06,0,243,0,21518,0,0,0,0,0,2.00E-06,0,0,0,DoS,1
8/19/2019 9:58,8/19/2019 9:58,192.168.0.20,192.168.0.2,0,62961,502,10,8,18,508,644,1152,89466.47656,68642.38281,158108.8594,173.534119,134.970978,327.786682,2,2,4,18.181818,527.011212,11.64897,5.762556,7.311714,6,0.051863,0.000672,1548777472,0.051863,0.051863,0.051863,0,128,64,41850,35175,24,20,44,0.000671,0.051863,0,0,0,normal,0
8/19/2019 12:03,8/19/2019 12:03,192.168.0.20,192.168.0.2,0,52382,502,10,8,18,508,644,1152,85353.74219,65486.92188,150840.6563,165.556824,128.766418,312.718445,2,2,4,18.181818,535.350608,15.062839,6.040222,7.664,6,0.054362,0.000704,1548785024,0.054362,0.054362,0.054362,0,128,64,56905,30353,24,20,44,0.000702,0.054362,0,0,0,normal,0
